Player,Country
Aakash Chopra,India
Aaron Finch,Australia
Aavishkar Salvi,India
AB de Villiers,South Africa
Abdul Samad,India
Abdulahad Malek,India
Abdur Razzak,Bangladesh
Abhimanyu Mithun,India
Abhinav Kumar,India
Abhinav Mukund,India
Abhishek Jhunjhunwala,India
Abhishek Nayar,India
Abhishek Raut,India
Abhishek Sharma,India
Abrar Kazi,India
Abu Nechim Ahmed,India
Adam Gilchrist,Australia
Adam Milne,New Zealand
Adam Voges,Australia
Adam Zampa,Australia
Aditya Angle,India
Aditya Dole,India
Aditya Garhwal,India
Aditya Tare,India
Adrian Barath,Trinidad and Tobago
Agnivesh Ayachi,India
Aiden Blizzard,Australia
Ajantha Mendis,Sri Lanka
Ajinkya Rahane,India
Ajit Agarkar,India
Ajit Chandila,India
Ajitesh Argal,India
Akash Bhandari,India
Akash Singh,India
Akhil Herwadkar,India
Akila Dananjaya,Sri Lanka
Akshath Reddy,India
Akshay Karnewar,India
Akshay Wakhare,India
Akshdeep Nath,India
Albie Morkel,South Africa
Alex Carey,Australia
Alex Hales,England
Alfonso Thomas,South Africa
Ali Khan,United States of America
Ali Murtaza,India
Alzarri Joseph,West Indies
Amanpreet Singh,India
Ambati Rayudu,India
Amit Mishra,India
Amit Mishra,India
Amit Paunikar,India
Amit Singh,India
Amit Uniyal,India
Amit Yadav,India
Amitoze Singh,India
Anand Rajan,India
André Nel,South Africa
Andre Russell,Jamaica
Andrew Flintoff,England
Andrew McDonald,Australia
Andrew Symonds,Australia
Andrew Tye,Australia
Angelo Mathews,Sri Lanka
Aniket Choudhary,India
Anil Kumble,India
Aniruddha Joshi,India
Anirudh Singh,India
Anirudha Srikkanth,India
Ankeet Chavan,India
Ankit Bawne,India
Ankit Rajpoot,India
Ankit Sharma,India
Ankit Soni,India
Ankush Bains,India
Anmolpreet Singh,India
Anrich Nortje,South Africa
Anuj Rawat,India
Anukul Roy,India
Anup Revandkar,India
Anureet Singh,India
Anustup Majumdar,India
Apoorv Wankhade,India
Arindam Ghosh,India
Arisht Singhvi,India
Arjun Yadav,India
Armaan Jaffer,India
Arshdeep Singh,India
Aryaman Birla,India
Asad Pathan,India
Asela Gunaratne,Sri Lanka
Ashish Nehra,India
Ashish Reddy,India
Ashley Noffke,Australia
Ashok Dinda,India
Ashok Menaria,India
Ashraf Makda,India
Ashton Turner,Australia
Ashwell Prince,South Africa
Atul Sharma,India
Avesh Khan,India
Axar Patel,India
Azhar Bilakhia,India
Azhar Mehmood,England
Baba Aparajith,India
Balachandra Akhil,India
Bandaru Ayyappa,India
Barinder Sran,India
Basil Thampi,India
Bavanaka Sandeep,India
Ben Cutting,Australia
Ben Dunk,Australia
Ben Dwarshuis,Australia
Ben Hilfenhaus,Australia
Ben Laughlin,Australia
Ben Rohrer,Australia
Ben Stokes,England
Beuran Hendricks,South Africa
Bharat Chipli,India
Bhargav Bhatt,India
Bhuvneshwar Kumar,India
Billy Stanlake,Australia
Biplab Samantray,India
Bipul Sharma,India
BN Bharath,India
Bodapati Sumanth,India
Brad Haddin,Australia
Brad Hodge,Australia
Brad Hogg,Australia
Brendan Taylor,Zimbabwe
Brendon McCullum,New Zealand
Brett Geeves,Australia
Brett Lee,Australia
Burt Cockley,Australia
Callum Ferguson,Australia
Cameron Delport,South Africa
Cameron White,Australia
Carlos Brathwaite,Barbados
Chaitanya Bishnoi,India
Chama Milind,India
Chamara Kapugedera,Sri Lanka
Chamara Silva,Sri Lanka
Chaminda Vaas,Sri Lanka
Chandan Madan,India
Chandrasekar Ganapathy,India
Charl Langeveldt,South Africa
Chentanya Nanda,India
Cheteshwar Pujara,India
Chirag Jani,India
Chirag Pathak,India
Chirag Suri,United Arab Emirates
Chris Barnwell,Guyana
Chris Gayle,Jamaica
Chris Green,Australia
Chris Jordan,England
Chris Lynn,Australia
Chris Morris,South Africa
Chris Woakes,England
Clint McKay,Australia
CM Gautam,India
Colin de Grandhomme,New Zealand
Colin Ingram,South Africa
Colin Munro,New Zealand
Corey Anderson,New Zealand
Dale Steyn,South Africa
Damien Martyn,Australia
Daniel Christian,Australia
Daniel Harris,Australia
Daniel Sams,Australia
Daniel Vettori,New Zealand
D'Arcy Short,Australia
Darren Bravo,Trinidad and Tobago
Darren Lehmann,Australia
Darren Sammy,Saint Lucia
Darshan Nalkande,India
David Hussey,Australia
David Miller,South Africa
David Warner,Australia
David Wiese,South Africa
David Willey,England
Davy Jacobs,South Africa
Debabrata Das,India
Deepak Chahar,India
Deepak Chougule,India
Deepak Hooda,India
Deepak Punia,India
Devdutt Padikkal,India
Devraj Patil,India
Dhawal Kulkarni,India
Dheeraj Jadhav,India
Dhruv Shorey,India
Digvijay Deshmukh,India
Dilhara Fernando,Sri Lanka
Dillon du Preez,South Africa
Dimitri Mascarenhas,England
Dinesh Chandimal,Sri Lanka
Dinesh Karthik,India
Dinesh Salunkhe,India
Dirk Nannes,Australia
Dishant Yagnik,India
Doddapaneni Kalyankrishna,India
Dominic Thornley,Australia
Domnic Muthuswami,India
Doug Bollinger,Australia
Doug Bracewell,New Zealand
Dushmantha Chameera,Sri Lanka
Dwaraka Ravi Teja,India
Dwayne Bravo,Trinidad and Tobago
Dwayne Smith,Barbados
Eklak Ahmid,India
Eklavya Dwivedi,India
Eoin Morgan,England
Evin Lewis,Trinidad and Tobago
Fabian Allen,West Indies
Faiz Fazal,India
Farhaan Behardien,South Africa
Farveez Maharoof,Sri Lanka
Fidel Edwards,Barbados
Francois du Plessis,South Africa
Gagandeep Singh,India
Gajendra Singh,India
Ganapathi Vignesh,India
Ganesh Gaikwad,India
Gaurav Dhiman,India
Gautam Gambhir,India
George Bailey,Australia
Glenn Maxwell,Australia
Glenn McGrath,Australia
Gnaneswara Rao,India
Graeme Smith,South Africa
Graham Napier,England
Gulam Bodi,South Africa
Gurinder Sandhu,Australia
Gurkeerat Singh,India
Halhadar Das,India
Hanuma Vihari,India
Harbhajan Singh,India
Hardik Pandya,India
Hardus Viljoen,South Africa
Harmeet Singh,India
Harpreet Brar,India
Harpreet Singh,India
Harry Gurney,England
Harshad Khadiwale,India
Harshal Patel,India
Hashim Amla,South Africa
Heinrich Klaasen,South Africa
Hemang Badani,India
Herschelle Gibbs,South Africa
Himmat Singh,India
HS Sharath,India
Imran Tahir,South Africa
Imtiaz Ahmed,India
Iqbal Abdulla,India
Iresh Saxena,India
Irfan Pathan,India
Ish Sodhi,New Zealand
Ishan Kishan,India
Ishan Malhotra,India
Ishan Porel,India
Ishank Jaggi,India
Ishant Sharma,India
Ishwar Pandey,India
Isuru Udana,Sri Lanka
Jacob Oram,New Zealand
Jacques Kallis,South Africa
Jagadeesh Arunkumar,India
Jagadeesha Suchith,India
Jalaj Saxena,India
James Faulkner,Australia
James Franklin,New Zealand
James Hopes,Australia
James Pattinson,Australia
Jaskaran Singh,India
Jason Behrendorff,Australia
Jason Holder,Barbados
Jason Roy,England
Jasprit Bumrah,India
Jatin Saxena,India
Javed Khan,India
Javon Searles,Barbados
Jayant Yadav,India
Jaydev Shah,India
Jaydev Unadkat,India
Jeevan Mendis,Sri Lanka
Jerome Taylor,Jamaica
Jesse Ryder,New Zealand
Jimmy Neesham,New Zealand
Jitendra Patil,India
Jitesh Sharma,India
Joe Denly,England
Joel Paris,Australia
Jofra Archer,England
Joginder Sharma,India
Joginder Singh,India
Johan Botha,South Africa
Johan van der Wath,South Africa
John Hastings,Australia
Jonathan Vandiar,South Africa
Jonny Bairstow,England
Jos Buttler,England
Josh Hazlewood,Australia
Josh Philippe,Australia
JP Duminy,South Africa
Junior Dala,South Africa
Justin Kemp,South Africa
Justin Langer,Australia
Kagiso Rabada,South Africa
Kamlesh Nagarkoti,India
Kamran Akmal,Pakistan
Kamran Khan,India
Kane Richardson,Australia
Kane Williamson,New Zealand
Kanishk Seth,India
Karan Goel,India
Karanveer Singh,India
Karn Sharma,India
Kartik Tyagi,India
Karun Nair,India
KB Arun Karthik,India
KC Cariappa,India
Kedar Devdhar,India
Kedar Jadhav,India
