Player,Country
Mohammad Nabi,Afghanistan
Mujeeb Ur Rahman,Afghanistan
Rashid Khan,Afghanistan
Abdur Razzak,Bangladesh
Mashrafe Mortaza,Bangladesh
Mohammad Ashraful,Bangladesh
Mustafizur Rahman,Bangladesh
Shakib Al Hasan,Bangladesh
Abdul Samad,India
Abhishek Sharma,India
Anand Rajan,India
Anirudh Singh,India
Ankit Sharma,India
Ankit Soni,India
Anmolpreet Singh,India
Anureet Singh,India
Arshdeep Singh,India
Avesh Khan,India
Basil Thampi,India
Bipul Sharma,India
CM Gautam,India
Gagandeep Singh,India
Gurkeerat Singh,India
Harbhajan Singh,India
Harmeet Singh,India
Harpreet Brar,India
Harpreet Singh,India
Iqbal Abdulla,India
Ishan Kishan,India
Jaskaran Singh,India
Joginder Sharma,India
Kamran Khan,India
Karanveer Singh,India
Kartik Tyagi,India
KB Arun Karthik,India
KC Cariappa,India
KL Rahul,India
KM Asif,India
KP Appanna,India
Kuldeep Yadav,India
Lalit Yadav,India
Mandeep Singh,India
Milind Kumar,India
Mohammed Shami,India
Mohammed Siraj,India
Monu Kumar,India
Niraj Patel,India
Pankaj Singh,India
Parvez Rasool,India
PM Sarvesh Kumar,India
Ravi Bishnoi,India
Sachin Baby,India
Sandeep Sharma,India
Shahbaz Ahmed,India
Shivam Mavi,India
Shivam Sharma,India
Shoaib Ahmed,India
Shubman Gill,India
Sunny Gupta,India
Sunny Singh,India
Swapnil Singh,India
T Natarajan,India
Tejas Baroka,India
TP Sudhindra,India
Vishnu Vinod,India
Washington Sundar,India
Yashpal Singh,India
Yuvraj Singh,India
Kamran Akmal,Pakistan
Misbah-ul-Haq,Pakistan
Mohammad Asif,Pakistan
Mohammad Hafeez,Pakistan
Salman Butt,Pakistan
Shahid Afridi,Pakistan
Shoaib Akhtar,Pakistan
Shoaib Malik,Pakistan
Sohail Tanvir,Pakistan
Umar Gul,Pakistan
Younis Khan,Pakistan
AB de Villiers,South Africa
Imran Tahir,South Africa
JP Duminy,South Africa
A Ashish Reddy,India
A Chandila,India
A Chopra,India
A Choudhary,India
A Dananjaya,Sri Lanka
A Flintoff,England
A Kumble,India
A Mishra,India
A Mithun,India
A Mukund,India
A Nehra,India
A Nel,South Africa
A Nortje,South Africa
A Singh,India
A Symonds,Australia
